t,x
0.0,-0.8
0.02512562814070352,-0.16605504072140165
0.05025125628140704,0.4523791811023661
0.07537688442211056,1.0400547298664433
0.10050251256281408,1.5824920517276482
0.1256281407035176,2.0663401802309496
0.15075376884422112,2.4797088751488343
0.17587939698492464,2.8124644339989393
0.20100502512562815,3.0564818191997247
0.22613065326633167,3.205846830294682
0.2512562814070352,3.257003293100901
0.2763819095477387,3.2088416051177235
0.30150753768844224,3.062726435055102
0.32663316582914576,2.8224628876344235
0.35175879396984927,2.4942019752400273
0.3768844221105528,2.0862877474942825
0.4020100502512563,1.6090498808505567
0.4271356783919598,1.074546886758366
0.45226130653266333,0.49626632511717794
0.47738693467336685,-0.11121052094581918
0.5025125628140704,-0.7325711690580468
0.5276381909547739,-1.352152643968518
0.5527638190954774,-1.9543308977098754
0.577889447236181,-2.5239092582438207
0.6030150753768845,-3.046496245438777
0.628140703517588,-3.508863357670303
0.6532663316582915,-3.8992739304811677
0.678391959798995,-4.20777488819947
0.7035175879396985,-4.426444132296199
0.7286432160804021,-4.549587413615289
0.7537688442211056,-4.573879791988044
0.7788944723618091,-4.498448164902699
0.8040201005025126,-4.324892812562655
0.8291457286432161,-4.0572474233812965
0.8542713567839196,-3.701878594005235
0.8793969849246231,-3.267327303277686
0.9045226130653267,-2.7640963027109304
0.9296482412060302,-2.2043887111387095
0.9547738693467337,-1.6018043148121417
0.9798994974874372,-0.9710011261031601
1.0050251256281408,-0.32733061802585195
1.0301507537688444,0.3135442935111781
1.0552763819095479,0.9360390187323295
1.0804020100502514,1.5250351205352768
1.105527638190955,2.0662565530920096
1.1306532663316584,2.5466249552644817
1.155778894472362,2.954585162518013
1.1809045226130654,3.2803928417119925
1.206030150753769,3.516357095189244
1.2311557788944725,3.6570320005433166
1.256281407035176,3.6993523224624116
1.2814070351758795,3.6427100215433406
1.306532663316583,3.4889696574055415
1.3316582914572865,3.2424223031930968
1.35678391959799,2.909679117834042
1.3819095477386936,2.4995072231964754
1.407035175879397,2.022611968214692
1.4321608040201006,1.4913709954673537
1.4572864321608041,0.9195267244111067
1.4824120603015076,0.3218448996928809
1.5075376884422111,-0.28625230303838956
1.5326633165829147,-0.8890694886171434
1.5577889447236182,-1.4710280401084526
1.5829145728643217,-2.0170532029963297
1.6080402010050252,-2.5129486284488243
1.6331658291457287,-2.9457490601941343
1.6582914572864322,-3.304042393123437
1.6834170854271358,-3.578253093482827
1.7085427135678393,-3.7608799314819437
1.7336683417085428,-3.846682113431641
1.7587939698492463,-3.8328091838660776
1.7839195979899498,-3.718871466588657
1.8090452261306533,-3.5069492924243173
1.8341708542713568,-3.201540783882887
