,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
t,0.005,0.01,0.015,0.02,0.025,0.030000000000000002,0.034999999999999996,0.04,0.045,0.049999999999999996,0.055,0.06,0.065,0.07,0.07500000000000001,0.08,0.085,0.09000000000000001,0.095,0.1,0.10500000000000001,0.11,0.115,0.12000000000000001,0.125,0.13,0.135,0.14,0.14500000000000002,0.15,0.155,0.16,0.165,0.17,0.17500000000000002,0.18000000000000002,0.185,0.19,0.195,0.2,0.20500000000000002,0.21000000000000002,0.215,0.22,0.225,0.23,0.23500000000000001,0.24000000000000002,0.245,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.28500000000000003,0.29000000000000004,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.34500000000000003,0.35000000000000003,0.35500000000000004,0.36,0.365,0.37,0.375,0.38,0.385,0.39,0.395,0.4,0.405,0.41000000000000003,0.41500000000000004,0.42000000000000004,0.425,0.43,0.435,0.44,0.445,0.45,0.455,0.46,0.465,0.47000000000000003,0.47500000000000003,0.48000000000000004,0.485,0.49,0.495,0.5,0.505,0.51,0.515,0.52,0.525,0.53,0.535,0.54,0.545,0.55,0.555,0.56,0.5650000000000001,0.5700000000000001,0.5750000000000001,0.5800000000000001,0.585,0.59,0.595,0.6,0.605,0.61,0.615,0.62,0.625,0.63,0.635,0.64,0.645,0.65,0.655,0.66,0.665,0.67,0.675,0.68,0.685,0.6900000000000001,0.6950000000000001,0.7000000000000001,0.7050000000000001,0.71,0.715,0.72,0.725,0.73,0.735,0.74,0.745,0.75,0.755,0.76,0.765,0.77,0.775,0.78,0.785,0.79,0.795,0.8,0.805,0.81,0.8150000000000001,0.8200000000000001,0.8250000000000001,0.8300000000000001,0.8350000000000001,0.84,0.845,0.85,0.855,0.86,0.865,0.87,0.875,0.88,0.885,0.89,0.895,0.9,0.905,0.91,0.915,0.92,0.925,0.93,0.935,0.9400000000000001,0.9450000000000001,0.9500000000000001,0.9550000000000001,0.9600000000000001,0.965,0.97,0.975,0.98,0.985,0.99,0.995,1.0
x,-7.734806629834255,-7.734806607919009,-7.734806517592261,-7.734806939531812,-7.734813111118205,-7.734788117993964,-7.734842559840068,-7.734794417865912,-7.7345686646752085,-7.736074419444425,-7.727808807655096,-7.707478125909382,-7.681497671770623,-7.648683918962627,-7.6100500898263785,-7.5565289318487086,-7.50078389959868,-7.435612338904875,-7.34104480372362,-7.243950650269205,-7.129566316999238,-6.995115928248453,-6.853437820587689,-6.685528297091437,-6.492129053382954,-6.303950647479619,-6.08654630161556,-5.86219433905253,-5.629827998575155,-5.4039321686397175,-5.178699171036461,-4.91864071486256,-4.6649623064191985,-4.414116826729126,-4.117033158398796,-3.841080258769095,-3.5826124695040638,-3.310274838359715,-3.038657770689115,-2.7776261986763804,-2.5475593093500475,-2.3269692027681597,-2.127455621313379,-1.9416093244351202,-1.7488497363864859,-1.5667998945552777,-1.4115518598430863,-1.2575025126742372,-1.1115956999326153,-0.970714157556045,-0.8386232603233246,-0.7183129622329596,-0.616771806779337,-0.533546825415362,-0.4533008604000337,-0.37699688143548726,-0.31883334835303573,-0.26203797876862617,-0.21180462824905366,-0.16924127687493748,-0.13195594016558868,-0.10264669899135705,-0.07753681395781448,-0.056387582506690376,-0.03857316576878077,-0.02357992908590267,-0.013580028535850656,-0.009812237773741331,-0.006059134508096993,-0.001138481034496485,0.004527693795537426,0.01462396638415595,0.03269703677707679,0.055734976597012945,0.099049578677769,0.1757390331130984,0.2712227186802094,0.41100621922604086,0.5774525813399702,0.7766425306430944,1.0018688722151001,1.21826644789176,1.4766028877906148,1.7681102045324233,2.052844154239582,2.353179778782169,2.6532348548071374,2.9406201570343162,3.2236690565651496,3.5128230202598822,3.8206172649720385,4.085999267673971,4.309489511583049,4.519879379945295,4.712968188258813,4.8748193468529095,5.0301754325022445,5.158999983654913,5.252328847621426,5.3319672001869645,5.407170158600611,5.472596384109527,5.528785768995198,5.570291145950742,5.59902118096827,5.619730886319396,5.634931544583367,5.646937908706672,5.65537573893913,5.663652991113094,5.6701476636598525,5.672406282592837,5.672192804000443,5.67211687549614,5.672317556596519,5.672138267963304,5.668539225592998,5.6615262310491445,5.650857435185089,5.63787314174061,5.619102626617619,5.581803063998755,5.5200197884360405,5.444624260381449,5.346843086289983,5.2297595928203275,5.084197231719628,4.872367554475152,4.627821758583989,4.318024429636568,3.9692821744049755,3.5864178337379675,3.1133048674746076,2.613414639967153,2.0984032304396965,1.541838902440694,0.9599234255376828,0.3476971349098621,-0.22107732910805034,-0.7803904657926661,-1.312593813365092,-1.7499548936444622,-2.138430966097757,-2.4890177675298797,-2.766169232773421,-2.948046224541804,-3.064580142983542,-3.153522321492529,-3.194482775316516,-3.203843593343732,-3.204437230813903,-3.2044157487260163,-3.2044218879228787,-3.2044151462192305,-3.204428636423731,-3.2044214909379125,-3.2043402042477016,-3.204804523046303,-3.202603276171099,-3.1982391136795845,-3.1874065862167673,-3.155203157486098,-3.0964889935331867,-2.9784715114256244,-2.8187896109514807,-2.619200539482855,-2.3554277483483363,-2.06303280162353,-1.7087986767132235,-1.3199697878809504,-0.9055933447904155,-0.44872841526003554,-0.0036125564383337194,0.4414399189190331,0.8708501956040702,1.269064284365102,1.680091512743127,2.0581239780081373,2.4032544724839053,2.7047762787982936,2.9410716936291563,3.131308367225203,3.2794958637863103,3.4034468829007207,3.4949453237443486,3.542336931268362,3.558725942436636,3.566951159332969,3.5718702143617005,3.5730068812573563,3.572669177164711,3.5727580618064616,3.5727447356049513,3.572741893786208,3.572745107486132,3.5727436321430415,3.5727439964515315,3.5727440213586057,3.5727440160266215,3.572744014732965
y,-8.09106830122592,-8.09106826396625,-8.091068110395303,-8.091068827764822,-8.091079320518958,-8.091036827926128,-8.091129388391035,-8.091047538787683,-8.0906637196893,-8.093223760750547,-8.079262378119491,-8.046095281328858,-8.004938273307552,-7.950269873560236,-7.880530681642632,-7.787876458776206,-7.693793056855292,-7.5830223696132135,-7.424004040278292,-7.261023113823361,-7.057702041275526,-6.816855429480508,-6.571263987209596,-6.291410700346747,-5.9694398094006775,-5.654170291352916,-5.2843460279088195,-4.897859940247256,-4.495913685011788,-4.113968276472964,-3.74072235191651,-3.312709459954117,-2.8955995694773207,-2.487367107444826,-2.009480159462209,-1.5762535376654179,-1.1754836324079012,-0.7522538772546369,-0.3298362998674538,0.07700055020244864,0.4346069914821631,0.7747618548714394,1.0770692273404303,1.3591360766442335,1.644782917414833,1.9131755234886954,2.1507960735988094,2.3914147667100947,2.6288630670583832,2.878357964341032,3.137054537190435,3.390139791705878,3.6135955357252882,3.82604487828526,4.033439854380267,4.218897934518653,4.368862578006813,4.508606712493052,4.621713463711493,4.70751999451687,4.7840986545650726,4.847115263865048,4.890246887550834,4.926303708813942,4.9566417127173334,4.980744200685222,4.996985046368976,5.0041059477420315,5.008099876202873,5.009135469565707,5.008877157662755,5.000549961740276,4.977184603586022,4.94928518407693,4.893952827510459,4.784153538653295,4.644702998296252,4.427589785697275,4.166849311650678,3.8361527729647262,3.4463982507623765,3.0743072672323466,2.6075863013744636,2.058796304356556,1.5104042905724377,0.9221132724567833,0.3205530584271402,-0.28254334318722024,-0.9043250410780836,-1.5357164396318812,-2.2102477789443102,-2.810021834763732,-3.332255179030684,-3.8459812353571547,-4.333236766965576,-4.764869558587209,-5.1778058850022886,-5.516537039529101,-5.7831348697009535,-6.012328244415211,-6.225047037858704,-6.419556118209682,-6.576568038941587,-6.6942235665215835,-6.786500634353078,-6.856403966419181,-6.9118865359188035,-6.962255912010089,-7.009669433637282,-7.049118799492368,-7.074819318238067,-7.09244999924413,-7.10638215414852,-7.110325349803183,-7.1102288014889705,-7.110377616916042,-7.114049634134888,-7.117740708410853,-7.123810657173358,-7.131669189259271,-7.140085792546379,-7.151801376851234,-7.160313955119376,-7.164650131835504,-7.154375051627167,-7.128857435485441,-7.083449190444664,-6.982171576932361,-6.846997521427295,-6.640689552346652,-6.372704528703542,-6.058492648651042,-5.671015317615679,-5.263524330897066,-4.837371920872268,-4.375574818350054,-3.8990254911336932,-3.4078164295433973,-2.966645791549589,-2.550799838236085,-2.168537541647534,-1.8628278064727204,-1.5915976238926839,-1.3507566931567419,-1.1654137942196858,-1.048324172180238,-0.9779986277531907,-0.9282033101999684,-0.9115011491339879,-0.9105124411145415,-0.9107346328516827,-0.9106722522826514,-0.9106829920338997,-0.9106850783647672,-0.9106807555084608,-0.9106829982019675,-0.9106969523669594,-0.9106153827914201,-0.910908391600202,-0.9101338521026653,-0.9114605741112355,-0.9229419469654845,-0.93817202405239,-0.9556582778949624,-0.9784204304762488,-1.007767776348935,-1.0437695619967395,-1.085955163481359,-1.1298584115585968,-1.1712517605064463,-1.2024517112878792,-1.2303846589060399,-1.255471486479096,-1.2685130415489614,-1.2736606756378421,-1.2729720857129345,-1.2654599142641738,-1.257369035506333,-1.2496753919471828,-1.2420192028230306,-1.2338820521206804,-1.2263374204332496,-1.2255587496837492,-1.2260757532127702,-1.2258704712144977,-1.2259302992816827,-1.2259187475842428,-1.2259184877004978,-1.2259200449821446,-1.2259192055392614,-1.2259195062105217,-1.2259194270730227,-1.225919438937865,-1.2259194414680483,-1.2259194386067644,-1.2259194399203206,-1.2259194395959625,-1.2259194395737867,-1.225919439578534,-1.2259194395796857
